,EXPID,PEAKID,YEAR,SEASON,HOST,ROUTE1,ROUTE2,ROUTE3,ROUTE4,NATION,LEADERS,SPONSOR,SUCCESS1,SUCCESS2,SUCCESS3,SUCCESS4,ASCENT1,ASCENT2,ASCENT3,ASCENT4,CLAIMED,DISPUTED,COUNTRIES,APPROACH,BCDATE,SMTDATE,SMTTIME,SMTDAYS,TOTDAYS,TERMDATE,TERMREASON,TERMNOTE,HIGHPOINT,TRAVERSE,SKI,PARAPENTE,CAMPS,ROPE,TOTMEMBERS,SMTMEMBERS,MDEATHS,TOTHIRED,SMTHIRED,HDEATHS,NOHIRED,O2USED,O2NONE,O2CLIMB,O2DESCENT,O2SLEEP,O2MEDICAL,O2TAKEN,O2UNKWN,OTHERSMTS,CAMPSITES,ROUTEMEMO,ACCIDENTS,ACHIEVMENT,AGENCY,COMRTE,STDRTE,PRIMRTE,PRIMMEM,PRIMREF,PRIMID,CHKSUM
10481,MANA19335,MANA,2019,Autumn,Nepal,NE Face,,,,Spain,Xavi Aria,Infinite Emotions Manaslu Expedition 2019,True,False,False,False,,,,,False,False,,Dharapani->Larkya La->Samagaon,,2019-09-26,,0,0,,Success (main peak),,8163,False,False,False,0,0,4,2,0,0,0,0,True,False,True,False,False,False,False,False,False,,Smt(26/09),,,,Prestige Adventure,True,True,False,False,False,,2462437
10482,MANA19336,MANA,2019,Autumn,Nepal,NE Face,,,,Italy,Cesare Cesa Bianchi,Mountain Kingdom Manaslu Expedition 2019,True,False,False,False,,,,,False,False,,By heli and trekking,2019-09-08,2019-09-27,1030,19,23,2019-10-01,Success (main peak),,8163,False,False,False,4,0,3,2,0,3,3,0,False,False,True,False,False,False,False,False,False,,"BC(08/09,4800m),C1(11/09,5650m),C2(16/09),C3(25/09),C4(26/09),Smt(27/09)","BC  08/09  4800m (lower basecamp)
C1  11/09  5650m (higher C1)
C2  16/09,24/09
C3  25/09
C4  26/09
Smt 27/09  by Guide Spinelli and Cesa Bianchi summited at 10:30-11 am.

Summit team waited out bad weather at base camp; set out on 23/09 from base camp. Left C4 on 27/9 for summit at 1 am. Good weather (cold but no wind) for summit push
Guido and Cesare, and three Sherpas left at same time for summit. Summited at 10:30-11 am, spent one hours on summit. Alone on the summit, no other people. Started descent around 11:30-12:00. No problems on descent. Descended to C4, slept there. Down to Base Camp on 28/09.

No Summit: Silvano Spinelli, high point on 11/09 at C1, stayed the night. Climb abandoned on 12/09 due to: blood pressure issues, was not feeling well. Walked down from C1 on 12/09. Left base camp on 15/09. Was able to walk down to Samagaon, took heli to KTM on 18/09.    

Bianch left BC on 01/10, walked to Sotikhola, Arughat. 
Guido Spinelli left BC 30/09, flew by heli on 2/10 from Samagaon.

Oxygen: Not taken, not used

Sherpas:
  Chhebe Bhote, Makalu
  Sangbu Lama Sherpa, Khumbu, 30-38 yrs
  Nima Yambu [Nuru] Sherpa, Makalu
",,,Prestige Adventure,True,True,False,False,False,,2462438
10483,MANA19337,MANA,2019,Autumn,Nepal,NE Face,,,,Poland,Pawel Michalski,Manaslu Reaktywacja 2019,True,False,False,False,,,,,False,False,,Via Larkya La,2019-09-07,2019-09-28,1200,21,23,2019-09-30,Success (main peak),,8163,False,False,False,4,0,3,3,0,0,0,0,True,False,True,False,False,False,False,False,False,,"BC(07/09),C1(11/09),C2(19/09),C3(20/09),C4(27/09),Smt(28/09)","BC  07/09
C1  11/09
C2  19/09
C3  20/09
C4  27/09
Smt 28/09  by all members.

Team started from C4 between 3-4 am. Whole team on summit between 12-1 pm, then down to C4 at 4 pm. Weather was cloudy and windy all the way up. All in bad weather on the mountain. No views from the summit.

No Sherpas, no oxygen.",,,Prestige Adventure,True,True,False,False,False,,2462439
10484,MANA19338,MANA,2019,Autumn,Nepal,NE Face,,,,Italy,Cristina Piolini,Pink Mountain Manaslu Expedition 2019,True,False,False,False,,,,,False,False,,Besisahar->Larkya La->Samagaon,2019-09-07,2019-09-27,0657,20,24,2019-10-01,Success (main peak),,8163,False,False,False,4,0,2,1,0,0,0,0,True,False,True,False,False,False,False,False,False,,"BC(07/09,4831m),C1(11/09,5670m),C2(19/09,6200m),C3(25/09,6800m),C4(26/09,7400m),Smt(27/09)","Piolini started from the C4 at 00:20. Intense cold and light snowfall. During the night the weather changed: very cold, but good weather, many stars in the sky. On the top, very cold, good weather, many uphill clouds at the bottom. Returned to C4 at 9:15 am. After having dismantled the camp, descended from C3 to C2 arivang at 1:45 pm where she spent the night. Sept 28 to base camp at about 12:30 pm local time.

Summited with Andorran lady (Estenania Troguet Torres) and her Sherpa.",,,Prestige Adventure,True,True,False,False,False,,2462438
10485,MANA19339,MANA,2019,Autumn,Nepal,NE Face,,,,Iran,Zahra Nemati,Iranian Manaslu Expedition 2019,True,False,False,False,,,,,False,False,,,2019-09-09,2019-09-26,,17,20,2019-09-29,Success (main peak),,8163,False,False,False,4,0,2,2,0,2,2,0,False,True,False,True,False,False,False,False,False,,"BC(09/09),C1(23/09),C2(24/09),C3(25/09),C4(26/09),Smt(26-27/09)","BC  09/09
C1  23/09
C2  24/09
C3  25/09
C4  26/09
Smt 27/09 by Nemati at 11 am.

Nemati started from C4 at 2 am, summited at 11 am, stayed 30 minutes, then down to C3. Slept at C3, down to BC 28 Sept.

Left BC on 29 Sept for Samagaon. 30 Sept walked back out.

Oxygen: C4-summit-C4

Sherpa:
  Ngima Tenzing, Khumbu, 36 years old.",,,Prestige Adventure,True,True,False,False,False,,2462437
10486,MANA19340,MANA,2019,Autumn,Nepal,NE Face,,,,Italy,Nives Meroi,Nives & Romano Manaslu Expedition 2019,False,False,False,False,,,,,False,False,,Arughat->Soti Khola->Samagaon,2019-09-20,2019-10-01,,11,13,2019-10-03,"Bad weather (storms, high winds)",Abandoned at 7400m due to strong winds,7400,False,False,False,3,0,3,0,0,0,0,0,True,False,True,False,False,False,False,False,False,,"BC(20/09,4700m),C1(24/09,6000m),C2(26/09,6300m),C3(01/10,7400m),xxx",,,,Cho Oyu Trekking,True,True,False,False,False,,2462442
10487,MANA19341,MANA,2019,Autumn,Nepal,NE Face,,,,Japan,Naoko Watanabe,Pioneer Adventure Manaslu Expedition,True,False,False,False,,,,,False,False,"Colombia/USA, Poland, USA",Via Larkya La,2019-09-10,2019-09-26,,16,19,2019-09-29,Success (main peak),,8163,False,False,False,4,0,6,6,0,9,9,0,False,True,False,True,False,False,False,False,False,,"BC(10/09,4700m),C1(15/09,5500m),C2(16/09,6250m),C3(25/09,6800m),C4(26/09,7450m),Smt(26-27/09)","Claudia Lopez and Izabela Smolokowska were Ticino Treks clients on the Pioneer Adventures permit.

Claudia Lopez Report:

BC  10/09  4700m
C1  15/09  5500m
C2  16/09  6250m
C3  25/09  6800m
C4  26/09  7450m
Smt 27/09  by Lopez, Smolokowska and 3 Sherpas.

Claudia Lopez and Izabela Smolokowska left C4 at 12:30 am, summited on 27 Sept with three Sherpas at 5:32 am, stayed 10 minutes, then descended to C3 arriving at noon. Very light snow, no wind and relatively warm.


Miyuki Yamamoto was an Adventure Himalaya client on the Pioneer Adventures permit.

Miyuki Yamamoto report:

BC  06/09  4400m
C1  14/09  5500m
C2  15/09  6300m approx
C3  25/09  6700m approx
C4  26/09  7400m approx
Smt 27/09  by Yamamoto, Anup Gurung and Sujan Gurung.

Summit push started from C4 at 2:30 am on 27 Sept, they got to the top at 7:20 am, stayed on the summit about 30 minutes, back to C4 9:30 am, then continued descending to C2 where they arrived at 2:30 pm. Next day they went down to BC. Summit day weather below 7000m it was cloudy and above was clear. Left BC on 29 Sept.

Oxygen: 7200m-Smt-7200m, Hired C4-Smt-C4.",,,Pioneer Adventure,True,True,False,False,False,,2462437
10488,MANA19342,MANA,2019,Autumn,Nepal,NE Face,,,,Nepal,Bam Bahadur B. K.,Pioneer Adventure Nepalese Manaslu Expedition 2019,True,False,False,False,,,,,False,False,,,,2019-09-26,,0,0,,Success (main peak),,8163,False,False,False,4,0,2,2,0,2,2,0,False,True,False,True,False,False,False,False,False,,"BC,C1,C2,C3,C4,Smt(26/09)",,,,Pioneer Adventure,True,True,False,False,False,,2462437
10489,MANA19343,MANA,2019,Autumn,Nepal,NE Face,,,,Nepal,Chatur Tamang,Cha-Tours Manaslu Expedition 2019,True,False,False,False,,,,,False,False,"Azerbaijan, China, Israel",Besisahar->Larkya La->Samagaon; via heli to Samagaon (Fang),2019-09-11,2019-09-26,0600,15,18,2019-09-29,Success (main peak),,8163,False,False,False,4,0,4,4,0,3,3,0,False,True,False,True,False,False,False,False,False,,"BC(11/09),C1(14/09),C2(15/09),C3(24/09),C4(25/09),Smt(26,28/09)","BC  11/09
C1  14/09
C2  15/09 
C3  24/09
C4  25/09
Smt 26/09  by Abramson, Chatur, Ashurli
    28/09  by Fang, Pasang Tshiring Sherpa, Jeb Tamang, Sarmila (Lama) Tamang.

First summit team started from C4 at 12:30 am. Chatur and Abramson on summit at 6 am, down to BC at 7 pm. Ashurli climbed without oxygen and started at 11 pm. He reached the summit at 8:30 am, down to C3. Good weather, warm. Not really clear, a bit hazy.

Second summit team started from C2 at 5:30 pm on 27/09. On summit at 9:30 am. Fang, Pasang and Sarmila down to C1 at 9 pm, Jeb Tamang down to C2.

Hired:
  Pasang Tshiring Sherpa (S), Solukhumbu
  Jeb Tamang (S), Solukhumbu
  Sarmila (Lama) Tamang (S), Solukhumbu (Chatur's sister)

Team left BC: 27/09 (Ashurli), 29/09 (rest of team).

Oxygen:
  Not used by Ashurli
  Used by Abramson, Jeb Tamang, Pasang, Sarmila and Fang from C3 to summit and 
    down to C2; by Chatur from C4 to summit and down to C2.",,Abramson first female from Israel to summit Manaslu,Chatours Treks (Pioneer Adventure pmt),True,True,False,False,False,,2462437
10490,MANA19344,MANA,2019,Autumn,Nepal,NE Face,,,,Switzerland,Andrea Zimmermann Sherpa,Wild Yak Manaslu Expedition 2019,False,False,False,False,,,,,False,False,,,,,,0,0,,,,0,False,False,False,0,0,2,0,0,2,0,0,False,False,False,False,False,False,False,False,False,,No Smt,,,,Wild Yak Expeditions,True,True,False,False,False,,3684
10491,MANA19345,MANA,2019,Autumn,Nepal,NE Face,,,,Canada,Dean Carriere,Imagine Nepal Manaslu Expedition 2019,True,False,False,False,,,,,False,False,"China, Iceland, Mongolia/Australia, Pakistan",,2019-09-08,2019-09-25,0630,17,0,,Success (main peak),,8163,False,False,False,4,0,8,5,0,6,5,0,False,True,False,True,False,True,False,False,False,,"BC(08/09,4800m),C1(11/10,6100m),C2,C3(23/10,6800m),C4(24/09,7300m),Smt(25/09)",,,,Imagine Nepal (Wild Yak pmt),True,True,False,False,False,,2462436
10492,MANA19346,MANA,2019,Autumn,Nepal,NE Face,,,,Australia,Kevin Farebrother,Australian Manaslu Expedition 2019,True,False,False,False,,,,,False,False,,,2019-09-07,2019-09-26,0820,19,20,2019-09-27,Success (main peak),,8163,False,False,False,3,0,1,1,0,1,1,0,False,True,False,True,False,False,False,False,False,,"BC(0709,4800m),C1(09/09,5200m),C2(13/09,6100m),C3(25/09,6800m),Smt(26/09)","Summit team left C3 (no C4) at 8 pm on 25 Sept, summited at 8:20 am on 26 Sept, stayed 30 minutes, then descended to C2 arriving at 5 pm after a break at C3. Deep snow on the high part from C3 to C4, long climb from C3 to the summit, but unremarkable with a 12-hour push to the summit; arrived at C4 site at 2 am leaving straight for the summit.

Oxygen: Used 1 cylinder from 7400m until back at C4 site (7400m).",,,Dream Himalaya Adventures (Wild Yak pmt),True,True,False,False,False,,2462437
10493,MANA19347,MANA,2019,Autumn,Nepal,NE Face,,,,Australia,Luke Rollnik,Himalayan Guides Manaslu Expedition 2019,True,False,False,False,,,,,False,False,"France, Russia, Switzerland, UK",Via Larkya La,2019-09-08,2019-09-26,0530,18,20,2019-09-28,Success (main peak),,8163,False,False,False,4,0,7,2,0,4,2,0,False,True,False,True,False,False,False,False,False,,"BC(08/09),C1(10/09),C2(16/09),C3(24/09),C4(25/09),Smt(26/09)","Report of Catherine Vuillez:

BC  08/09
C1  10/09
C2  16/09
C3  24/09
C4  25/09
Smt 26/09  by Vuillez, Nuru Wangchhu Sherpa.

Summit team started at 1:30 am, on the top at 5:30 am. Very good weather, no wind, a bit cloudy. Stayed on the top for 15 minutes, thn back to BC at 1 pm. Lefeft BC on 28/09.

Oxygen:
  Taken and used by Vuillez from C3 to summit and down to Crampon Point (between 
     C1 and BC). By Sherpa from C4 to summit and down to Crampon Point.

Hired:
  Nuru Wangchhu Sherpa (S)",,,Himalayan Guides,True,True,False,False,False,,2462437
